metric,bucket,bucket_label,bucket_min,bucket_max,threshold,sample_count,arrival_rate
range_pct_5m,25,Q25,0.0030607091,0.0033037932,0.52,268,0.944030
range_pct_5m,25,Q25,0.0030607091,0.0033037932,0.53,268,0.921642
range_pct_5m,25,Q25,0.0030607091,0.0033037932,0.54,268,0.891791
range_pct_5m,25,Q25,0.0030607091,0.0033037932,0.55,268,0.880597
range_pct_5m,25,Q25,0.0030607091,0.0033037932,0.56,268,0.865672
range_pct_5m,25,Q25,0.0030607091,0.0033037932,0.57,268,0.847015
range_pct_5m,25,Q25,0.0030607091,0.0033037932,0.58,268,0.832090
range_pct_5m,26,Q26,0.0033048546,0.0036153086,0.52,269,0.947955
range_pct_5m,26,Q26,0.0033048546,0.0036153086,0.53,269,0.918216
range_pct_5m,26,Q26,0.0033048546,0.0036153086,0.54,269,0.884758
range_pct_5m,26,Q26,0.0033048546,0.0036153086,0.55,269,0.873606
range_pct_5m,26,Q26,0.0033048546,0.0036153086,0.56,269,0.843866
range_pct_5m,26,Q26,0.0033048546,0.0036153086,0.57,269,0.836431
range_pct_5m,26,Q26,0.0033048546,0.0036153086,0.58,269,0.828996
range_pct_5m,27,Q27,0.0036165085,0.0040951168,0.52,269,0.940520
range_pct_5m,27,Q27,0.0036165085,0.0040951168,0.53,269,0.925651
range_pct_5m,27,Q27,0.0036165085,0.0040951168,0.54,269,0.910781
range_pct_5m,27,Q27,0.0036165085,0.0040951168,0.55,269,0.903346
range_pct_5m,27,Q27,0.0036165085,0.0040951168,0.56,269,0.884758
range_pct_5m,27,Q27,0.0036165085,0.0040951168,0.57,269,0.881041
range_pct_5m,27,Q27,0.0036165085,0.0040951168,0.58,269,0.869888
range_pct_5m,28,Q28,0.0041003121,0.0048026169,0.52,268,0.936567
range_pct_5m,28,Q28,0.0041003121,0.0048026169,0.53,268,0.917910
range_pct_5m,28,Q28,0.0041003121,0.0048026169,0.54,268,0.888060
range_pct_5m,28,Q28,0.0041003121,0.0048026169,0.55,268,0.869403
range_pct_5m,28,Q28,0.0041003121,0.0048026169,0.56,268,0.865672
range_pct_5m,28,Q28,0.0041003121,0.0048026169,0.57,268,0.854478
range_pct_5m,28,Q28,0.0041003121,0.0048026169,0.58,268,0.843284
range_pct_5m,29,Q29,0.0048037790,0.0058828467,0.52,269,0.936803
range_pct_5m,29,Q29,0.0048037790,0.0058828467,0.53,269,0.929368
range_pct_5m,29,Q29,0.0048037790,0.0058828467,0.54,269,0.903346
range_pct_5m,29,Q29,0.0048037790,0.0058828467,0.55,269,0.892193
range_pct_5m,29,Q29,0.0048037790,0.0058828467,0.56,269,0.855019
range_pct_5m,29,Q29,0.0048037790,0.0058828467,0.57,269,0.847584
range_pct_5m,29,Q29,0.0048037790,0.0058828467,0.58,269,0.840149
range_pct_5m,30,Q30,0.0058891440,0.0237834542,0.52,269,0.925651
range_pct_5m,30,Q30,0.0058891440,0.0237834542,0.53,269,0.910781
range_pct_5m,30,Q30,0.0058891440,0.0237834542,0.54,269,0.907063
range_pct_5m,30,Q30,0.0058891440,0.0237834542,0.55,269,0.895911
range_pct_5m,30,Q30,0.0058891440,0.0237834542,0.56,269,0.869888
range_pct_5m,30,Q30,0.0058891440,0.0237834542,0.57,269,0.851301
range_pct_5m,30,Q30,0.0058891440,0.0237834542,0.58,269,0.832714
return_std_1m_5m,1,Q1,0.0000000635,0.0001047816,0.52,268,0.925373
return_std_1m_5m,1,Q1,0.0000000635,0.0001047816,0.53,268,0.891791
return_std_1m_5m,1,Q1,0.0000000635,0.0001047816,0.54,268,0.880597
return_std_1m_5m,1,Q1,0.0000000635,0.0001047816,0.55,268,0.850746
return_std_1m_5m,1,Q1,0.0000000635,0.0001047816,0.56,268,0.828358
return_std_1m_5m,1,Q1,0.0000000635,0.0001047816,0.57,268,0.820896
return_std_1m_5m,1,Q1,0.0000000635,0.0001047816,0.58,268,0.809701
return_std_1m_5m,2,Q2,0.0001048400,0.0001397107,0.52,269,0.940520
return_std_1m_5m,2,Q2,0.0001048400,0.0001397107,0.53,269,0.907063
